Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,0.9181223831678692,0.6456140350877193,1.0482281189977554,0.5346353720518531
2,0.5190982367095427,0.8194931773879143,0.3235258893447317,0.9066872251727486
3,0.44298373034358257,0.8393762183235868,0.5974001177874293,0.7817943007252585
4,0.3633951786084947,0.8651072124756335,0.7127520207773712,0.74615955684998
5,0.3112193459191053,0.8888888888888888,0.7127001865448205,0.7434755296670664
6,0.28082761246180904,0.8974658869395712,0.5740716138205872,0.7931585860316372
7,0.24181298402085408,0.9060428849902534,0.3312633914355939,0.8861858260521958
8,0.2257584132762448,0.9111111111111111,0.4541168289315346,0.8443264233910114
9,0.1712482177396441,0.9345029239766082,0.39340788995928266,0.8726514762149506
10,0.1544999334605349,0.9415204678362573,0.4593772639898984,0.8338187425047113
11,0.14138681341913942,0.9485380116959065,0.47126837947075756,0.8481525898006967
12,0.1199835886300104,0.9590643274853801,0.5789578044294025,0.8315915710125065
