Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,0.8985412725234366,0.6579563182527302,0.6751688647195813,0.7535101404056163
2,0.5812415428541008,0.7940717628705148,0.5260416589409996,0.7878315132605305
3,0.4623641262002371,0.8373634945397815,0.49279837301015483,0.8081123244929798
4,0.3921186370301451,0.859594383775351,0.4642468845927957,0.8268330733229329
5,0.31189073450781996,0.8896255850234009,0.45069838606995094,0.8486739469578783
6,0.25509437858221495,0.9079563182527302,0.4527554345461024,0.8564742589703588
7,0.21578793576373698,0.9184867394695788,0.41313895413451557,0.8611544461778471
8,0.17235831472319485,0.9379875195007801,0.4450323281173308,0.8720748829953198
9,0.15639363315287694,0.9434477379095164,0.44517222326248884,0.8720748829953198
10,0.1104380716681415,0.9567082683307332,0.4813874898574282,0.8736349453978159
11,0.08590929972388536,0.9711388455538221,0.536166383944417,0.8798751950078003
12,0.06897940466328642,0.9773790951638065,0.5160306086640242,0.8829953198127926
13,0.04902901952031436,0.9859594383775351,0.5461530071389374,0.8720748829953198
14,0.043450059648167325,0.9882995319812793,0.5898018887281228,0.8767550702028081
