Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,0.8310392017717715,0.6935672514619883,0.7622761504483055,0.7232596653532065
2,0.5298257060799217,0.8074074074074075,0.8929132248385766,0.6503340757238307
3,0.3983433919575712,0.8538011695906432,0.5033936538621269,0.8249671634972303
4,0.32346629116967407,0.8892787524366472,0.5499673919711501,0.7996116726628976
5,0.26739905226765087,0.9005847953216374,0.40955481099892466,0.8482096967620353
6,0.20496179584057939,0.9247563352826511,0.6348423462004332,0.7842499000628177
7,0.1733928481149569,0.9387914230019493,0.604064680564023,0.7947004739877791
8,0.13220040949813106,0.952046783625731,0.542290045464885,0.8229684198503797
9,0.10506372476907966,0.9625730994152046,0.5592174616567678,0.8390154759865227
10,0.09381908004627823,0.9676413255360624,0.4399060550333601,0.8817885900291246
11,0.0888099711627988,0.9707602339181286,0.641316611514863,0.8276511906801439
12,0.06080449046113222,0.978167641325536,0.5252677436094079,0.8613442978699103
13,0.05654938462050541,0.9820662768031189,0.6793914404863919,0.8271943349894352
14,0.0407223880617765,0.9875243664717349,0.5105947450362434,0.8728227970989664
15,0.03741726749850966,0.9883040935672515,0.7361972816165082,0.8317628918965222
16,0.030400634273799538,0.9910331384015595,0.7117066358935008,0.827365655873451
17,0.07235796189414007,0.9785575048732943,0.6776686025296564,0.8344469190794358
18,0.026648880442971538,0.9929824561403509,0.59388503689551,0.8647707155502256
19,0.02698623806264376,0.9910331384015595,0.606040014746819,0.8700245559933756
20,0.013712526023724674,0.9957115009746589,0.7151964582501991,0.8546056764319571
