Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,0.6818873284504428,0.7617933723196881,0.4802741322009678,0.8456398835017989
2,0.43590637426859685,0.8491228070175438,0.7224571029746848,0.7457027011592713
3,0.3853240906843665,0.8678362573099415,0.91034395242975,0.6956198960653304
4,0.40765142319959974,0.8487329434697856,0.5124815775484765,0.8321055336645538
5,0.3385500622684495,0.8771929824561403,0.7199924870449855,0.740220432870767
6,0.2979395825495729,0.8896686159844055,0.8831841786008091,0.6747758551767461
7,0.33580450967506126,0.877972709551657,0.26632119130859516,0.9185083661698361
8,0.2984175849146778,0.8951267056530214,0.551098674669352,0.8034378390725829
9,0.22649451652233132,0.917738791423002,0.6277706457021051,0.718634001484781
10,0.2440773401111655,0.9134502923976608,0.2177918703749703,0.9314145394323569
11,0.2971475288881893,0.8916179337231969,0.467340565467778,0.8158871566443949
12,0.2063690292672572,0.9255360623781677,0.20482746998223533,0.9318713951230655
13,0.1852271970978722,0.9387914230019493,0.23961802464248497,0.9235337787676318
14,0.11304002900990942,0.9571150097465887,0.6625810974467373,0.7659756724344697
15,0.10144346425233529,0.9645224171539961,0.4748819066335715,0.8499800125635315
16,0.200238998974973,0.9345029239766082,0.6875979893041851,0.7667751698932099
17,0.16905225439843147,0.9341130604288499,0.4493322839456156,0.8667123522357375
18,0.09138926362607912,0.9703703703703703,0.46563019809082773,0.8590600194163669
19,0.13098290672718202,0.9551656920077972,0.4788924151084103,0.8482096967620353
20,0.05769781339005885,0.9824561403508771,0.3099617961726912,0.9052024441779453
21,0.12813611664821994,0.9528265107212476,0.5080300316373692,0.8358745931129005
22,0.0639595745018816,0.9785575048732943,0.4273722077497075,0.8740791502484153
