Epoch,Train Loss,Valid loss,Train Accuracy,Valid Accuracy,Learning Rate
1,4.552140141906738,4.337728350830078,2.662,6.02,2.7791350282675064e-05
2,4.4062357682800295,4.175492305755615,4.696,9.17,4.981639803675931e-05
3,4.246542279663086,4.009816914367676,7.276,12.18,8.226170188348133e-05
4,4.11415729598999,3.872691524505615,10.028,15.51,0.00011950964566067142
5,3.994646642074585,3.7610950099945066,12.378,17.79,0.00015511107876216344
6,3.88362964553833,3.61498809967041,14.892,20.92,0.00018290192927998084
7,3.7708588023376466,3.4754640625,17.464,24.58,0.000198070458302173
8,3.6645779691314697,3.3516295700073244,19.916,27.43,0.0001999938061701895
9,3.5810024365234376,3.2668550079345704,22.042,30.11,0.00019994500824875325
10,3.5076769442749023,3.2124382667541505,23.61,31.31,0.00019984768384800943
11,3.4467115156555175,3.1449172985076905,25.138,32.8,0.00019970188026937656
12,3.395202862548828,3.114371974182129,26.496,34.44,0.00019950766837603006
13,3.334619250640869,3.07396067237854,28.138,34.71,0.00019926514255846168
14,3.290213311462402,3.038810501861572,28.978,35.79,0.0001989744206886039
15,3.2550403620910644,2.9624352111816408,30.088,38.07,0.00019863564406254197
16,3.2083764517211915,2.912794471740723,31.5,39.72,0.0001982489773318416
17,3.1728547944641114,2.8645043334960936,32.43,40.45,0.00019781460842352528
18,3.125627923660278,2.8560960620880125,33.358,41.49,0.0001973327484487362
19,3.105774955444336,2.8221998500823973,34.386,41.78,0.00019680363160013464
20,3.069491167755127,2.839798725128174,35.194,41.91,0.00019622751503807603
21,3.0327965547180176,2.7903043354034422,36.264,43.28,0.00019560467876562627
22,3.0095986224365237,2.7617845268249512,36.832,44.33,0.0001949354254924753
23,2.9703014179229736,2.767954556274414,38.01,43.72,0.00019422008048781462
24,2.9429391551971436,2.723494467163086,38.916,45.07,0.0001934589914222507
25,2.923043871841431,2.681070040893555,39.578,46.82,0.0001926525281988306
26,2.89115777633667,2.683362801361084,40.44,46.69,0.00019180108277326263
27,2.869399694366455,2.6505554244995118,41.034,47.7,0.00019090506896341856
28,2.84374624206543,2.6412064498901366,41.582,47.56,0.00018996492224821086
29,2.818115349655151,2.6145320053100587,42.26,49.08,0.00018898109955594187
