Epoch,Train Loss,Valid loss,Train Accuracy,Valid Accuracy,Learning Rate
39,1.926917050704956,2.178694481277466,63.206,57.7,0.0002652841188917092
40,1.896734059677124,2.120436616706848,63.976,58.61,0.0002631418050283003
41,1.8708473531723022,2.132718306350708,64.86,58.81,0.0002609445751046417
42,1.8544234900665284,2.135641805648804,65.23,58.55,0.00025869349701420426
43,1.826560818710327,2.135267848587036,66.53,58.98,0.0002563896648216418
44,1.8073102722167969,2.1137771598815918,66.878,59.57,0.00025403419823105547
45,1.777825417060852,2.1358879516601563,68.078,59.37,0.00025162824204179757
46,1.768608510093689,2.1224869983673096,68.24,59.88,0.00024917296559207817
47,1.747616640319824,2.1460374357223513,68.858,59.09,0.0002466695621906457
48,1.7278404280471802,2.1406779697418212,69.668,59.62,0.00024411924853681732
49,1.7086634951782227,2.1277727642059325,70.374,60.06,0.000241523264129141
50,1.681208635635376,2.1256498710632323,71.23,59.83,0.00023888287066297707
51,1.6659288718414307,2.1137441368103027,71.804,60.29,0.0002361993514172908
52,1.6398718212890624,2.1253061248779295,72.722,60.36,0.00023347401063095657
53,1.6306319300842285,2.1376740028381347,72.984,60.5,0.00023070817286887336
54,1.6064883180999756,2.139326971054077,73.772,60.4,0.0002279031823782026
55,1.5885309894180297,2.122868774986267,74.372,60.8,0.00022506040243503998
56,1.5765974505233764,2.132168115234375,74.822,60.98,0.00022218121468183807
57,1.558579817276001,2.146365803146362,75.576,60.22,0.0002192670184559037
58,1.5432902978515626,2.1376078506469725,76.17,60.91,0.00021631923010929417
59,1.5242146264648437,2.1570392517089845,76.86,60.51,0.0002133392823204449
60,1.5166203763580322,2.1537371921539306,77.112,60.31,0.00021032862339786187
61,1.4938003515625,2.151567650985718,77.894,60.86,0.0002072887165762171
62,1.4814863952255248,2.132113670730591,78.356,60.79,0.00020422103930519054
63,1.4641346404647828,2.1558746097564696,78.924,60.55,0.00020112708253140267
64,1.4513005366134644,2.1513538703918456,79.394,60.52,0.00019800834997378726
65,1.4441356629180908,2.162947344970703,79.706,61.19,0.00019486635739275732
66,1.423902795791626,2.1775783180236816,80.268,60.83,0.00019170263185351753
67,1.4132078376770019,2.1696165754318235,80.81,60.38,0.00018851871098388333
68,1.3987301752471923,2.17486036529541,81.18,60.92,0.00018531614222696592
69,1.3897449797821044,2.1754588237762453,81.668,60.58,0.0001820964820890868
70,1.3772496662902831,2.163302683830261,81.964,61.02,0.0001788612953832877
71,1.3656360313415528,2.164948467254639,82.384,61.3,0.00017561215446880308
72,1.3534125064849853,2.1693519134521484,82.91,61.32,0.0001723506384868651
73,1.3380382632827759,2.167169487953186,83.524,61.03,0.00016907833259321257
74,1.329614348487854,2.1631508375167847,83.61,61.67,0.00016579682718767628
75,1.3186339714431763,2.1896036054611208,84.246,60.75,0.0001625077171412164
76,1.31119833984375,2.188441315460205,84.508,60.92,0.00015921260102078584
77,1.2935051676940919,2.171722010040283,84.96,61.49,0.00015591308031239818
